prompt,halu_test_res
What position did Jan Willem Spruyt hold in the Orange Free State between 1856 and 1862?,True
What was the new name given to First Prize by the Admiralty?,False
What is the northern terminus of Mississippi Highway 902?,True
Who is betrothed to St. Elmo in the film?,True
What date was the album Oddfellows released?,False
"Which studio collaborated with Nintendo to develop the game ""Good Job!""?",False
What was the total rainfall amount recorded at a station on Grand Cayman during a 24-hour period due to the early stages of Tropical Storm Alberto?,True
In what year did Lyman Linde sign with the Green Bay Bluejays?,True
"What illness caused the death of Ambrose K. Hutchison on July 17, 1932?",True
Who was chosen to design the Hove War Memorial?,False
Who was the highest wicket-taker for Delhi Daredevils in the 2012 IPL?,False
What was the peak intensity of Hurricane Emilia in terms of maximum sustained winds?,True
In what year was State Route 821 (SR 821) designated as the Yakima River Canyon Scenic Byway?,True
What was the length of Vencie Glenn's record-tying interception return against the Denver Broncos in 1987?,False
What is the title of the 24th episode from season four of Family Guy?,True
What is the title of the sixth book in Maya Angelou's series of autobiographies?,False
What feature of the Bugun liocichla's wings is distinctive?,False
Who first described Chrysiridia rhipheus?,True
"Who initially wrote the track ""Chandelier"" intending it for Rihanna or Beyoncé?",False
"Who created the sound effects for ""Ultima Underworld: The Stygian Abyss""?",True
What is the length of Kelenken's holotype skull?,True
Where is the Heilongjiang hand cannon currently located?,False
What position did Goosebumps hold on the list of most frequently challenged books during 1990–1999 according to the American Library Association?,False
Who served as the producer for both the E.T. the Extra-Terrestrial audiobook and Michael Jackson's album Thriller?,False
What are the most widely used preformed endotracheal tubes?,True
What surname did Edward Nathaniel Holtzberg and his brother Ted legally change to in 1936?,True
Which album was recorded by Ian Gillan's side project with Glover to fulfill his contract with Virgin?,False
"What was the peak position of Ringo Starr's album ""Sentimental Journey"" in the UK charts?",False
What was the weight range of the Smilodon populator species?,True
What was the largest sum ever paid for a baseball player at the time of Babe Ruth's sale?,False
In which municipality is the Södermanland Runic Inscription 113 located?,True
"What was the subtitle of the magazine ""Fantasy"" launched in 1946?",True
What is the chemical responsible for the bluing reaction in Gyroporus cyanescens?,True
How many workers were killed as a result of the Qinghe Special Steel Corporation disaster?,False
What year did the Bibliothèque nationale de France publish a bibliography of its Collection de l'Enfer?,True
On what date did NBC announce that the final season of Superstore would begin airing?,True
What is Felix Römer's area of specialisation as a historian?,False
What object discovered on the planet Aegis VII is central to the plot of Dead Space?,False
"Who guest starred as Tam Elbrun in the Star Trek: The Next Generation episode ""Tin Man""?",False
What city does Interstate 296 enter as it leaves Grand Rapids?,True
Which company's development team was responsible for creating Dragon Quest VI: Realms of Revelation?,False
What was the final fate of the battleship Pobeda during the Russo-Japanese War?,True
Who drew the first booking of the match in the 2016 Football League Championship play-off final?,False
What is the seating capacity of Nitehawk Prospect Park?,False
What is the sequel to the Nintendo 64 title Mario Tennis?,False
What was the name of the German blockade runner intercepted by HMS York in the Denmark Strait in March 1940?,False
What was the peak wind gust recorded from Cyclone Olivia?,True
What was the nickname of William Alexander Lange?,True
Who won the twelfth stage of the 1992 Giro d'Italia?,True
"Who is Jane Austen played by in ""Becoming Jane""?",False
What was the fate of the middle section of Oklahoma State Highway 74 in 1979?,False
Which Sega development division was responsible for creating Daytona USA?,False
What is the main feature of the Desert of Maine?,True
What was the primary crop grown on William Montgomerie's 32-acre Duxton Hill estate in Singapore?,True
Who initially established the first strong Antemoro kingdom?,True
"What is the name of the flea that parasitizes birds of the Delichon species, particularly the house martin?",False
Who remixed and re-composed the original theme song and soundtrack for this version of Double Dare?,True
What item does the Phantom attach to a trombone to kill Peggy?,True
What is the color of the spore print produced by Amanita rubrovolvata?,False
What was the top speed reached by the French battleship Diderot during her sea trials?,True
Who created the concept for Code Age?,False
What condition does the Taresian reproduction method leave the male in after DNA harvesting?,True
Who was the non-British participant in the Oxford crew of The Boat Race 1885?,True
What was the new name given to the State Council after the signing of the tripartite agreement on 8 May?,True
Who scored the equalising goal for Port Vale in the first leg of the 1989 Football League Third Division play-off final?,False
What style of game engine do both the Diddy Kong Pilot prototypes and the final game of Banjo-Pilot use?,False
What is the eastern terminus of M-32?,True
"When did planning for the Tremplin du Praz venue start, following Albertville's selection to host the 1992 Winter Olympics?",True
"Who was responsible for Victor's death in ""Things Aren't Simple Any More""?",True
"What was the original title of the novel on which the film ""Remember Last Night?"" is based?",False
"Who are the producers of the song ""Here I Stand""?",True
What fraternity was Ike Leggett a member of during his time at Southern University?,False
What main studio did Lorde use to work on Melodrama in New York City?,True
Who did Moses Gill marry in 1772?,False
What was the primary subsistence form adopted by communities in the British Isles during the Early Neolithic period?,False
What are the two brightest stars in the Crater constellation?,True
What is the name of the sculpture by Claes Oldenburg located in the plaza in front of Centre Square?,False
What high school did Tyrone Wheatley attend?,False
What nickname was given to the 53 Democratic members of the Texas House who fled to Oklahoma in 2003 to prevent a quorum?,False
What common coral species encountered at Tropic Seamount is named Madrepora oculata?,False
Which historic scientist did Richard M. Eakin consider his most authoritative impersonation due to personal acquaintance?,True
On what date did Météo-France classify the system as a zone of disturbed weather?,True
Who was the first gay male superhero to have his own series in a mainstream publisher starting in 2015?,False
What was the name of the mission station founded by William Harrison Anderson in 1905?,True
What is the subject of the top sculpture immured in the facade of Stånga Church?,True
"Who were the writers of ""Swing Life Away""?",False
What was donated to Minneopa State Park in 1931 that led to the acquisition of a noncontiguous parcel?,False
"What nickname, coined by magazine publisher Ricardo Vega, did Jerry Estrada have throughout his wrestling career?",False
Where was the head of Julia Martha Thomas found 131 years after it was buried?,True
What is the maximum length that male Pelvicachromis pulcher can grow to in the wild?,True
Where did OverClocked ReMix make its first fan convention appearance in 2006?,False
"What is the working title of the album ""A Ghost Is Born""?",False
What position did Josh Cody play on the Vanderbilt basketball team in the 1919–1920 season?,True
What was the cost of the paving project awarded to the Lewis Brothers of Phoenix for the section of SR 95 between the McPhaul Bridge and Yuma?,True
What was the maximum speed of the M5 half-track after the addition of armor?,False
"Who is the demon that offers to restore Nanashi to life in exchange for becoming his ""godslayer""?",False
"Which August had no halfway-decent movies and was considered as having the worst releases, including films like The Avengers and Halloween H20?",False
What is the only bird species endemic to Guadeloupe?,False
Who led the Army of the West in the Battle of the Morannon?,False
What was Li He's courtesy name?,False
What was the total viewership for the first episode of Game of Thrones after reruns aired during the following week?,True
What year was the highway officially designated as State Route 20?,True
In what year did Nicole Esdaile make her national team debut in goalball?,True
What is the method used to discover HD 40307 d?,False
Who did Carmella Cammeniti return with for two episodes in March 2011?,True
What was the name of the band that Madonna formed after leaving Breakfast Club?,True
"What illustrative medium did Lin use for ""A Big Mooncake for Little Star""?",False
"Who co-wrote ""Fix a Heart"" with Priscilla Renea?",False
"What was the highest chart position ""Follow God"" achieved on the US Billboard Hot 100?",False
"What item was removed from ""Keen Dreams"" to symbolize that Keen was in a nightmare and feel less empowered?",False
"In what year did Nadia Kaabi-Linke's work ""Flying Carpets"" become part of the New York Guggenheim Museum collection?",False
Who relieved Commander Edward Philpotts as acting fleet captain of HMS Bulwark in June 1905?,True
"Where did the phrase ""May God have mercy upon your soul"" originate?",True
What year did Daryl Peach win the WPA World Nine-ball Championship?,False
What feature introduced in F-Zero X allows players to rapidly annihilate or pass 29 other racers?,True
"Who is the protagonist in ""Half-Life: Blue Shift""?",False
What geographic feature is depicted as a thin brown strip along the Hudson River in the illustration?,True
What is the estimated annual water yield of the Boise National Forest?,True
"Which band is featured in the video game ""Guitar Hero: Aerosmith""?",False
What phrase appears on the Lafayette dollar coins indicating the year associated with the Paris exhibition?,False
What is the target CIF balance set by the board of the Tuvalu Trust Fund as a percentage of the maintained value of the fund?,False
"Which take was used in the film ""Pieces of a Woman"" for the long sequence scene?",True
"What is the name of the street after which the Beatles' song ""Blue Jay Way"" is named?",False
"Who directed the music video for Kanye West's song ""Good Morning""?",False
What does Susie accuse Jack of being during their heated argument?,True
What is the embryological origin of the suspensory muscle of the duodenum?,False
Who described the species Ambassis macleayi as Pseudoambassis macleayi in 1878?,True
What was the peak wind velocity recorded at Naguabo during the 1916 Virgin Islands hurricane?,True
Who was the captain of the Italian ironclad Formidabile during the Battle of Lissa?,True
"What position did ""How Many Licks?"" peak at on the Billboard Hot 100 chart?",False
What is the type species of the genus Reigomys?,False
"Who did Kid Cudi work with at his house to develop the idea for the song ""Reborn""?",True
What year was Mississippi Highway 69 paved in asphalt?,True
What was the launch date of HMS Monarch (1911)?,False
What was the first game released that used the Virtual Theatre engine?,False
"Which branch do Michael and Pam decide to visit instead of giving lectures, in an attempt to find closure with Holly?",False
"Where was ""Voices Carry"" recorded?",True
"Which reviewer gave the album ""Apollo 18"" an A−?",False
Who starred as the Twelfth Doctor in the ninth series of Doctor Who?,False
Who was the leader of the Welsh revolt against Norman rule in Gwynedd that began in 1094?,False
"What company's adventure games, particularly from 1995, served as primary reference points for the team developing Warcraft Adventures: Lord of the Clans?",False
